X,T,P,Y
0.9309,78.4393,0.0782744,0.925646
0.931,78.4395,0.078274,0.925745
0.9311,78.4397,0.0782736,0.925844
0.9312,78.4399,0.0782733,0.925942
0.9313,78.4401,0.0782729,0.926041
0.9314,78.4403,0.0782725,0.92614
0.9315,78.4405,0.0782722,0.926239
0.9316,78.4407,0.0782718,0.926338
0.9317,78.4409,0.0782714,0.926437
0.9318,78.4411,0.078271,0.926536
0.9319,78.4413,0.0782707,0.926635
0.932,78.4415,0.0782703,0.926734
0.9321,78.4417,0.0782699,0.926833
0.9322,78.4419,0.0782695,0.926932
0.9323,78.4421,0.0782692,0.927031
0.9324,78.4423,0.0782688,0.92713
0.9325,78.4425,0.0782684,0.927229
0.9326,78.4427,0.078268,0.927328
0.9327,78.4429,0.0782677,0.927427
0.9328,78.4431,0.0782673,0.927526
0.9329,78.4433,0.0782669,0.927625
0.933,78.4435,0.0782665,0.927725
0.9331,78.4437,0.0782661,0.927824
0.9332,78.4439,0.0782657,0.927923
0.9333,78.4441,0.0782653,0.928022
0.9334,78.4443,0.078265,0.928122
0.9335,78.4445,0.0782646,0.928221
0.9336,78.4447,0.0782642,0.92832
0.9337,78.4449,0.0782638,0.92842
0.9338,78.4451,0.0782634,0.928519
0.9339,78.4453,0.078263,0.928619
0.934,78.4455,0.0782626,0.928718
0.9341,78.4457,0.0782622,0.928818
0.9342,78.4459,0.0782618,0.928917
0.9343,78.4461,0.0782614,0.929017
0.9344,78.4463,0.078261,0.929116
0.9345,78.4465,0.0782606,0.929216
0.9346,78.4467,0.0782602,0.929315
0.9347,78.4469,0.0782598,0.929415
0.9348,78.4471,0.0782594,0.929515
0.9349,78.4473,0.078259,0.929614
0.935,78.4475,0.0782586,0.929714
0.9351,78.4477,0.0782582,0.929814
0.9352,78.4479,0.0782578,0.929914
0.9353,78.4481,0.0782574,0.930013
0.9354,78.4483,0.078257,0.930113
0.9355,78.4486,0.0782566,0.930213
0.9356,78.4488,0.0782562,0.930313
0.9357,78.449,0.0782558,0.930413
0.9358,78.4492,0.0782554,0.930513
0.9359,78.4494,0.078255,0.930612
0.936,78.4496,0.0782546,0.930712
0.9361,78.4498,0.0782542,0.930812
0.9362,78.45,0.0782537,0.930912
0.9363,78.4502,0.0782533,0.931012
0.9364,78.4504,0.0782529,0.931112
0.9365,78.4506,0.0782525,0.931213
0.9366,78.4509,0.0782521,0.931313
0.9367,78.4511,0.0782517,0.931413
0.9368,78.4513,0.0782512,0.931513
0.9369,78.4515,0.0782508,0.931613
0.937,78.4517,0.0782504,0.931713
0.9371,78.4519,0.07825,0.931813
0.9372,78.4521,0.0782496,0.931914
0.9373,78.4524,0.0782491,0.932014
0.9374,78.4526,0.0782487,0.932114
0.9375,78.4528,0.0782483,0.932215
0.9376,78.453,0.0782479,0.932315
0.9377,78.4532,0.0782474,0.932415
0.9378,78.4534,0.078247,0.932516
0.9379,78.4536,0.0782466,0.932616
0.938,78.4539,0.0782461,0.932716
0.9381,78.4541,0.0782457,0.932817
0.9382,78.4543,0.0782453,0.932917
0.9383,78.4545,0.0782448,0.933018
0.9384,78.4547,0.0782444,0.933118
0.9385,78.4549,0.078244,0.933219
0.9386,78.4552,0.0782435,0.93332
0.9387,78.4554,0.0782431,0.93342
0.9388,78.4556,0.0782427,0.933521
0.9389,78.4558,0.0782422,0.933621
0.939,78.456,0.0782418,0.933722
0.9391,78.4563,0.0782413,0.933823
0.9392,78.4565,0.0782409,0.933924
0.9393,78.4567,0.0782405,0.934024
0.9394,78.4569,0.07824,0.934125
0.9395,78.4571,0.0782396,0.934226
0.9396,78.4574,0.0782391,0.934327
0.9397,78.4576,0.0782387,0.934428
0.9398,78.4578,0.0782382,0.934528
0.9399,78.458,0.0782378,0.934629
0.94,78.4583,0.0782373,0.93473
0.9401,78.4585,0.0782369,0.934831
0.9402,78.4587,0.0782364,0.934932
0.9403,78.4589,0.078236,0.935033
0.9404,78.4591,0.0782355,0.935134
0.9405,78.4594,0.0782351,0.935235
0.9406,78.4596,0.0782346,0.935336
0.9407,78.4598,0.0782342,0.935437
0.9408,78.46,0.0782337,0.935539
0.9409,78.4603,0.0782333,0.93564
0.941,78.4605,0.0782328,0.935741
0.9411,78.4607,0.0782323,0.935842
0.9412,78.461,0.0782319,0.935943
0.9413,78.4612,0.0782314,0.936044
0.9414,78.4614,0.078231,0.936146
0.9415,78.4616,0.0782305,0.936247
0.9416,78.4619,0.07823,0.936348
0.9417,78.4621,0.0782296,0.93645
0.9418,78.4623,0.0782291,0.936551
0.9419,78.4626,0.0782286,0.936652
0.942,78.4628,0.0782282,0.936754
0.9421,78.463,0.0782277,0.936855
0.9422,78.4632,0.0782272,0.936957
0.9423,78.4635,0.0782268,0.937058
0.9424,78.4637,0.0782263,0.93716
0.9425,78.4639,0.0782258,0.937261
0.9426,78.4642,0.0782253,0.937363
0.9427,78.4644,0.0782249,0.937464
0.9428,78.4646,0.0782244,0.937566
0.9429,78.4649,0.0782239,0.937668
0.943,78.4651,0.0782234,0.937769
0.9431,78.4653,0.078223,0.937871
0.9432,78.4656,0.0782225,0.937973
0.9433,78.4658,0.078222,0.938075
0.9434,78.466,0.0782215,0.938176
0.9435,78.4663,0.0782211,0.938278
0.9436,78.4665,0.0782206,0.93838
0.9437,78.4667,0.0782201,0.938482
0.9438,78.467,0.0782196,0.938584
0.9439,78.4672,0.0782191,0.938686
0.944,78.4674,0.0782186,0.938787
0.9441,78.4677,0.0782181,0.938889
0.9442,78.4679,0.0782177,0.938991
0.9443,78.4682,0.0782172,0.939093
0.9444,78.4684,0.0782167,0.939195
0.9445,78.4686,0.0782162,0.939297
0.9446,78.4689,0.0782157,0.939399
0.9447,78.4691,0.0782152,0.939502
0.9448,78.4694,0.0782147,0.939604
0.9449,78.4696,0.0782142,0.939706
0.945,78.4698,0.0782137,0.939808
0.9451,78.4701,0.0782132,0.93991
0.9452,78.4703,0.0782127,0.940012
0.9453,78.4706,0.0782122,0.940115
0.9454,78.4708,0.0782117,0.940217
0.9455,78.471,0.0782112,0.940319
0.9456,78.4713,0.0782107,0.940421
0.9457,78.4715,0.0782102,0.940524
0.9458,78.4718,0.0782097,0.940626
0.9459,78.472,0.0782092,0.940728
0.946,78.4722,0.0782087,0.940831
0.9461,78.4725,0.0782082,0.940933
0.9462,78.4727,0.0782077,0.941036
0.9463,78.473,0.0782072,0.941138
0.9464,78.4732,0.0782067,0.941241
0.9465,78.4735,0.0782062,0.941343
0.9466,78.4737,0.0782057,0.941446
0.9467,78.474,0.0782051,0.941548
0.9468,78.4742,0.0782046,0.941651
0.9469,78.4745,0.0782041,0.941754
0.947,78.4747,0.0782036,0.941856
0.9471,78.4749,0.0782031,0.941959
0.9472,78.4752,0.0782026,0.942062
0.9473,78.4754,0.0782021,0.942165
0.9474,78.4757,0.0782015,0.942267
0.9475,78.4759,0.078201,0.94237
0.9476,78.4762,0.0782005,0.942473
0.9477,78.4764,0.0782,0.942576
0.9478,78.4767,0.0781995,0.942679
0.9479,78.4769,0.0781989,0.942782
0.948,78.4772,0.0781984,0.942884
0.9481,78.4774,0.0781979,0.942987
0.9482,78.4777,0.0781974,0.94309
0.9483,78.4779,0.0781968,0.943193
0.9484,78.4782,0.0781963,0.943296
0.9485,78.4784,0.0781958,0.943399
0.9486,78.4787,0.0781953,0.943502
0.9487,78.4789,0.0781947,0.943606
0.9488,78.4792,0.0781942,0.943709
0.9489,78.4794,0.0781937,0.943812
0.949,78.4797,0.0781931,0.943915
0.9491,78.48,0.0781926,0.944018
0.9492,78.4802,0.0781921,0.944121
0.9493,78.4805,0.0781915,0.944225
0.9494,78.4807,0.078191,0.944328
0.9495,78.481,0.0781904,0.944431
0.9496,78.4812,0.0781899,0.944534
0.9497,78.4815,0.0781894,0.944638
0.9498,78.4817,0.0781888,0.944741
0.9499,78.482,0.0781883,0.944845
0.95,78.4823,0.0781877,0.944948
0.9501,78.4825,0.0781872,0.945051
0.9502,78.4828,0.0781867,0.945155
0.9503,78.483,0.0781861,0.945258
0.9504,78.4833,0.0781856,0.945362
0.9505,78.4835,0.078185,0.945465
0.9506,78.4838,0.0781845,0.945569
0.9507,78.4841,0.0781839,0.945673
0.9508,78.4843,0.0781834,0.945776
0.9509,78.4846,0.0781828,0.94588
0.951,78.4848,0.0781823,0.945984
0.9511,78.4851,0.0781817,0.946087
0.9512,78.4854,0.0781812,0.946191
0.9513,78.4856,0.0781806,0.946295
0.9514,78.4859,0.07818,0.946399
0.9515,78.4862,0.0781795,0.946502
0.9516,78.4864,0.0781789,0.946606
0.9517,78.4867,0.0781784,0.94671
0.9518,78.4869,0.0781778,0.946814
0.9519,78.4872,0.0781772,0.946918
0.952,78.4875,0.0781767,0.947022
0.9521,78.4877,0.0781761,0.947126
0.9522,78.488,0.0781756,0.94723
0.9523,78.4883,0.078175,0.947334
0.9524,78.4885,0.0781744,0.947438
0.9525,78.4888,0.0781739,0.947542
0.9526,78.4891,0.0781733,0.947646
0.9527,78.4893,0.0781727,0.94775
0.9528,78.4896,0.0781722,0.947854
0.9529,78.4899,0.0781716,0.947958
0.953,78.4901,0.078171,0.948062
0.9531,78.4904,0.0781704,0.948167
0.9532,78.4907,0.0781699,0.948271
0.9533,78.4909,0.0781693,0.948375
0.9534,78.4912,0.0781687,0.948479
0.9535,78.4915,0.0781681,0.948584
0.9536,78.4917,0.0781676,0.948688
0.9537,78.492,0.078167,0.948792
0.9538,78.4923,0.0781664,0.948897
0.9539,78.4925,0.0781658,0.949001
0.954,78.4928,0.0781653,0.949106
0.9541,78.4931,0.0781647,0.94921
0.9542,78.4934,0.0781641,0.949315
0.9543,78.4936,0.0781635,0.949419
0.9544,78.4939,0.0781629,0.949524
0.9545,78.4942,0.0781623,0.949628
0.9546,78.4945,0.0781617,0.949733
0.9547,78.4947,0.0781612,0.949837
0.9548,78.495,0.0781606,0.949942
0.9549,78.4953,0.07816,0.950047
0.955,78.4955,0.0781594,0.950151
0.9551,78.4958,0.0781588,0.950256
0.9552,78.4961,0.0781582,0.950361
0.9553,78.4964,0.0781576,0.950466
0.9554,78.4966,0.078157,0.95057
0.9555,78.4969,0.0781564,0.950675
0.9556,78.4972,0.0781558,0.95078
0.9557,78.4975,0.0781552,0.950885
0.9558,78.4978,0.0781546,0.95099
0.9559,78.498,0.078154,0.951095
0.956,78.4983,0.0781534,0.9512
0.9561,78.4986,0.0781528,0.951305
0.9562,78.4989,0.0781522,0.95141
0.9563,78.4991,0.0781516,0.951515
0.9564,78.4994,0.078151,0.95162
0.9565,78.4997,0.0781504,0.951725
0.9566,78.5,0.0781498,0.95183
0.9567,78.5003,0.0781492,0.951935
0.9568,78.5005,0.0781486,0.95204
0.9569,78.5008,0.078148,0.952146
0.957,78.5011,0.0781474,0.952251
0.9571,78.5014,0.0781468,0.952356
0.9572,78.5017,0.0781462,0.952461
0.9573,78.5019,0.0781456,0.952567
0.9574,78.5022,0.0781449,0.952672
0.9575,78.5025,0.0781443,0.952777
0.9576,78.5028,0.0781437,0.952883
0.9577,78.5031,0.0781431,0.952988
0.9578,78.5034,0.0781425,0.953093
0.9579,78.5037,0.0781419,0.953199
0.958,78.5039,0.0781412,0.953304
0.9581,78.5042,0.0781406,0.95341
0.9582,78.5045,0.07814,0.953515
0.9583,78.5048,0.0781394,0.953621
0.9584,78.5051,0.0781388,0.953726
0.9585,78.5054,0.0781381,0.953832
0.9586,78.5057,0.0781375,0.953938
0.9587,78.5059,0.0781369,0.954043
0.9588,78.5062,0.0781363,0.954149
0.9589,78.5065,0.0781356,0.954255
0.959,78.5068,0.078135,0.95436
0.9591,78.5071,0.0781344,0.954466
0.9592,78.5074,0.0781337,0.954572
0.9593,78.5077,0.0781331,0.954678
0.9594,78.508,0.0781325,0.954784
0.9595,78.5082,0.0781318,0.95489
0.9596,78.5085,0.0781312,0.954995
0.9597,78.5088,0.0781306,0.955101
0.9598,78.5091,0.0781299,0.955207
0.9599,78.5094,0.0781293,0.955313
0.96,78.5097,0.0781287,0.955419
0.9601,78.51,0.078128,0.955525
0.9602,78.5103,0.0781274,0.955631
0.9603,78.5106,0.0781267,0.955737
0.9604,78.5109,0.0781261,0.955843
0.9605,78.5112,0.0781255,0.95595
0.9606,78.5115,0.0781248,0.956056
0.9607,78.5118,0.0781242,0.956162
0.9608,78.512,0.0781235,0.956268
0.9609,78.5123,0.0781229,0.956374
0.961,78.5126,0.0781222,0.956481
0.9611,78.5129,0.0781216,0.956587
0.9612,78.5132,0.0781209,0.956693
0.9613,78.5135,0.0781203,0.9568
0.9614,78.5138,0.0781196,0.956906
0.9615,78.5141,0.078119,0.957012
0.9616,78.5144,0.0781183,0.957119
0.9617,78.5147,0.0781177,0.957225
0.9618,78.515,0.078117,0.957332
0.9619,78.5153,0.0781163,0.957438
0.962,78.5156,0.0781157,0.957545
0.9621,78.5159,0.078115,0.957651
0.9622,78.5162,0.0781144,0.957758
0.9623,78.5165,0.0781137,0.957864
0.9624,78.5168,0.0781131,0.957971
0.9625,78.5171,0.0781124,0.958078
0.9626,78.5174,0.0781117,0.958184
0.9627,78.5177,0.0781111,0.958291
0.9628,78.518,0.0781104,0.958398
0.9629,78.5183,0.0781097,0.958504
0.963,78.5186,0.0781091,0.958611
0.9631,78.5189,0.0781084,0.958718
0.9632,78.5192,0.0781077,0.958825
0.9633,78.5195,0.0781071,0.958932
0.9634,78.5198,0.0781064,0.959039
0.9635,78.5201,0.0781057,0.959145
0.9636,78.5204,0.078105,0.959252
0.9637,78.5207,0.0781044,0.959359
0.9638,78.5211,0.0781037,0.959466
0.9639,78.5214,0.078103,0.959573
0.964,78.5217,0.0781023,0.95968
0.9641,78.522,0.0781017,0.959788
0.9642,78.5223,0.078101,0.959895
0.9643,78.5226,0.0781003,0.960002
0.9644,78.5229,0.0780996,0.960109
0.9645,78.5232,0.0780989,0.960216
0.9646,78.5235,0.0780983,0.960323
0.9647,78.5238,0.0780976,0.96043
0.9648,78.5241,0.0780969,0.960538
0.9649,78.5244,0.0780962,0.960645
0.965,78.5247,0.0780955,0.960752
0.9651,78.5251,0.0780948,0.96086
0.9652,78.5254,0.0780941,0.960967
0.9653,78.5257,0.0780935,0.961074
0.9654,78.526,0.0780928,0.961182
0.9655,78.5263,0.0780921,0.961289
0.9656,78.5266,0.0780914,0.961397
0.9657,78.5269,0.0780907,0.961504
0.9658,78.5272,0.07809,0.961612
0.9659,78.5275,0.0780893,0.961719
0.966,78.5279,0.0780886,0.961827
0.9661,78.5282,0.0780879,0.961934
0.9662,78.5285,0.0780872,0.962042
0.9663,78.5288,0.0780865,0.96215
0.9664,78.5291,0.0780858,0.962257
0.9665,78.5294,0.0780851,0.962365
0.9666,78.5297,0.0780844,0.962473
0.9667,78.5301,0.0780837,0.962581
0.9668,78.5304,0.078083,0.962688
0.9669,78.5307,0.0780823,0.962796
0.967,78.531,0.0780816,0.962904
0.9671,78.5313,0.0780809,0.963012
0.9672,78.5316,0.0780802,0.96312
0.9673,78.532,0.0780795,0.963228
0.9674,78.5323,0.0780787,0.963336
0.9675,78.5326,0.078078,0.963444
0.9676,78.5329,0.0780773,0.963552
0.9677,78.5332,0.0780766,0.96366
0.9678,78.5336,0.0780759,0.963768
0.9679,78.5339,0.0780752,0.963876
0.968,78.5342,0.0780745,0.963984
0.9681,78.5345,0.0780738,0.964092
0.9682,78.5348,0.078073,0.9642
0.9683,78.5352,0.0780723,0.964308
0.9684,78.5355,0.0780716,0.964417
0.9685,78.5358,0.0780709,0.964525
0.9686,78.5361,0.0780702,0.964633
0.9687,78.5364,0.0780694,0.964741
0.9688,78.5368,0.0780687,0.96485
0.9689,78.5371,0.078068,0.964958
0.969,78.5374,0.0780673,0.965067
0.9691,78.5377,0.0780665,0.965175
0.9692,78.5381,0.0780658,0.965283
0.9693,78.5384,0.0780651,0.965392
0.9694,78.5387,0.0780643,0.9655
0.9695,78.539,0.0780636,0.965609
0.9696,78.5394,0.0780629,0.965717
0.9697,78.5397,0.0780622,0.965826
0.9698,78.54,0.0780614,0.965934
0.9699,78.5403,0.0780607,0.966043
0.97,78.5407,0.07806,0.966152
0.9701,78.541,0.0780592,0.96626
0.9702,78.5413,0.0780585,0.966369
0.9703,78.5417,0.0780577,0.966478
0.9704,78.542,0.078057,0.966587
0.9705,78.5423,0.0780563,0.966695
0.9706,78.5426,0.0780555,0.966804
0.9707,78.543,0.0780548,0.966913
0.9708,78.5433,0.078054,0.967022
0.9709,78.5436,0.0780533,0.967131
0.971,78.544,0.0780525,0.96724
0.9711,78.5443,0.0780518,0.967349
0.9712,78.5446,0.0780511,0.967458
0.9713,78.545,0.0780503,0.967567
0.9714,78.5453,0.0780496,0.967676
0.9715,78.5456,0.0780488,0.967785
0.9716,78.546,0.0780481,0.967894
0.9717,78.5463,0.0780473,0.968003
0.9718,78.5466,0.0780466,0.968112
0.9719,78.547,0.0780458,0.968221
0.972,78.5473,0.078045,0.96833
0.9721,78.5476,0.0780443,0.96844
0.9722,78.548,0.0780435,0.968549
0.9723,78.5483,0.0780428,0.968658
0.9724,78.5486,0.078042,0.968767
0.9725,78.549,0.0780413,0.968877
0.9726,78.5493,0.0780405,0.968986
0.9727,78.5496,0.0780397,0.969095
0.9728,78.55,0.078039,0.969205
0.9729,78.5503,0.0780382,0.969314
0.973,78.5507,0.0780374,0.969424
0.9731,78.551,0.0780367,0.969533
0.9732,78.5513,0.0780359,0.969643
0.9733,78.5517,0.0780351,0.969752
0.9734,78.552,0.0780344,0.969862
0.9735,78.5524,0.0780336,0.969971
0.9736,78.5527,0.0780328,0.970081
0.9737,78.553,0.0780321,0.970191
0.9738,78.5534,0.0780313,0.9703
0.9739,78.5537,0.0780305,0.97041
0.974,78.5541,0.0780297,0.97052
0.9741,78.5544,0.078029,0.970629
0.9742,78.5547,0.0780282,0.970739
0.9743,78.5551,0.0780274,0.970849
0.9744,78.5554,0.0780266,0.970959
0.9745,78.5558,0.0780259,0.971069
0.9746,78.5561,0.0780251,0.971179
0.9747,78.5565,0.0780243,0.971289
0.9748,78.5568,0.0780235,0.971399
0.9749,78.5572,0.0780227,0.971508
0.975,78.5575,0.0780219,0.971618
0.9751,78.5578,0.0780212,0.971729
0.9752,78.5582,0.0780204,0.971839
0.9753,78.5585,0.0780196,0.971949
0.9754,78.5589,0.0780188,0.972059
0.9755,78.5592,0.078018,0.972169
0.9756,78.5596,0.0780172,0.972279
0.9757,78.5599,0.0780164,0.972389
0.9758,78.5603,0.0780156,0.972499
0.9759,78.5606,0.0780148,0.97261
0.976,78.561,0.078014,0.97272
0.9761,78.5613,0.0780133,0.97283
0.9762,78.5617,0.0780125,0.972941
0.9763,78.562,0.0780117,0.973051
0.9764,78.5624,0.0780109,0.973161
0.9765,78.5627,0.0780101,0.973272
0.9766,78.5631,0.0780093,0.973382
0.9767,78.5634,0.0780085,0.973493
0.9768,78.5638,0.0780077,0.973603
0.9769,78.5641,0.0780069,0.973714
0.977,78.5645,0.0780061,0.973824
0.9771,78.5648,0.0780052,0.973935
0.9772,78.5652,0.0780044,0.974045
0.9773,78.5655,0.0780036,0.974156
0.9774,78.5659,0.0780028,0.974267
0.9775,78.5663,0.078002,0.974377
0.9776,78.5666,0.0780012,0.974488
0.9777,78.567,0.0780004,0.974599
0.9778,78.5673,0.0779996,0.97471
0.9779,78.5677,0.0779988,0.97482
0.978,78.568,0.077998,0.974931
0.9781,78.5684,0.0779971,0.975042
0.9782,78.5687,0.0779963,0.975153
0.9783,78.5691,0.0779955,0.975264
0.9784,78.5695,0.0779947,0.975375
0.9785,78.5698,0.0779939,0.975486
0.9786,78.5702,0.0779931,0.975597
0.9787,78.5705,0.0779922,0.975708
0.9788,78.5709,0.0779914,0.975819
0.9789,78.5713,0.0779906,0.97593
0.979,78.5716,0.0779898,0.976041
0.9791,78.572,0.0779889,0.976152
0.9792,78.5723,0.0779881,0.976263
0.9793,78.5727,0.0779873,0.976375
0.9794,78.5731,0.0779865,0.976486
0.9795,78.5734,0.0779856,0.976597
0.9796,78.5738,0.0779848,0.976708
0.9797,78.5741,0.077984,0.97682
0.9798,78.5745,0.0779831,0.976931
0.9799,78.5749,0.0779823,0.977042
0.98,78.5752,0.0779815,0.977154
